id,floor,roomname,loc1,loc2,loceam,log_user,hostname,serial_number,processor,windows_version,windows_display_version,windows_install_date,manufacturer,model,total_ram,num_ram_slots,ram_per_slot,ram_speed,ram_type,ip_address,mac_address,office_name,office_version,citrix_name,citrix_version,status,taskfor,total_hdd_capacity,drive_types,timestamp
19,P2,Pod,POD_37,E,,c.monarca,MLASHP00309,C1N3LP3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.94.131,C025.A5C9.A041,,,Not found,Not found,ACTIVE,RAM Upgrade 1,,,7/26/2025 17:39
20,P2,Pod,POD_37,C,,c.monarca,MLASHP00334,GKTQXM3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.92.120,A4BB.6D97.5523,,,Not found,Not found,ACTIVE,RAM Upgrade 1,,,7/26/2025 17:42
21,P2,Pod,POD_37,A,,c.monarca,MLASHP00305,CDTQXM3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.92.242,A4BB.6D97.4834,,,Not found,Not found,ACTIVE,RAM Upgrade 1,,,7/26/2025 17:43
22,P2,Pod,POD_10,G,,jp.supsupin,MLASHP00181,8CC0250FHC,Intel(R) Core(TM) i5-9600 CPU @ 3.10GHz,Microsoft Windows 10 Enterprise,22H2,,HP,HP EliteDesk 800 G5 Desktop Mini,16.00 GB,1,16.00 GB,2667 MHz,DDR4,10.16.92.183,BCE9.2F85.D5DB,,,Not found,Not found,ACTIVE,RAM Upgrade 1,,,7/27/2025 5:56
23,P2,Pod,POD_10,A,,jp.supsupin,MLASHP00213,MXL44910YT,Intel(R) Core(TM) i5-4590T CPU @ 2.00GHz,Microsoft Windows 10 Enterprise,22H2,,Hewlett-Packard,HP EliteDesk 800 G1 DM,16.00 GB,2,8.00 GB > 8.00 GB,1600 MHz,DDR3,10.16.92.125,40A8.F05A.4030,,,Not found,Not found,ACTIVE,RAM As Is,,,7/27/2025 6:00
24,P2,Pod,POD_10,B,,jp.supsupin,MLASHP00180,4NK2SF3,Intel(R) Core(TM) i5-10505 CPU @ 3.20GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 7090,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.95.81,A4BB.6D80.6FAF,,,Not found,Not found,ACTIVE,RAM As Is,,,7/27/2025 6:03
25,P2,Pod,POD_10,E,,jp.supsupin,MLASHP00142,185JMJ3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3080,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.93.21,C025.A58A.63C9,,,Not found,Not found,ACTIVE,RAM As Is,,,7/27/2025 6:08
26,P2,Pod,POD_10,C,,jp.supsupin,MLASHP00110X,7S91ZR3,12th Gen Intel(R) Core(TM) i5-12500T,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3000,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.93.3,00BE.43F7.8243,,,Not found,Not found,ACTIVE,RAM Upgrade 1,,,7/27/2025 6:14
27,P2,Pod,POD_10,D,,jp.supsupin,MLASHP00182,D95JMJ3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3080,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.93.62,C025.A588.F994,,,Not found,Not found,ACTIVE,RAM As Is,,,7/27/2025 6:16
28,P2,Pod,POD_10,F,,jp.supsupin,MLASHP00113,9M4JMJ3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3080,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.94.77,C025.A58A.676E,,,Not found,Not found,ACTIVE,RAM As Is,,,7/27/2025 6:17
29,P2,Pod,POD_37,B,,jp.supsupin,MLASHP00324,BXSQXM3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.94.133,A4BB.6D97.2CFC,,,Not found,Not found,ACTIVE,RAM Upgrade 1,,,7/27/2025 6:22
58,P2,Pod,POD_37,G,,a.acosta,MLASHP00567,4TH14N3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.95.8,A4BB.6D97.43D6,,,Not found,Not found,ACTIVE,RAM Upgrade 1,,,7/28/2025 7:55
59,P2,Pod,POD_37,D,,a.acosta,MLASHP00311,GZM3LP3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.94.193,C025.A5C9.9FC0,,,Not found,Not found,ACTIVE,RAM Upgrade 1,,,7/28/2025 7:58
60,P2,Pod,POD_39,A,,a.acosta,MLASHP00357,4CE1290XSG,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,Microsoft Windows 10 Enterprise,22H2,,HP,HP EliteDesk 800 G6 Small Form Factor PC,16.00 GB,1,16.00 GB,2667 MHz,DDR4,10.16.94.194,0068.EBCC.AA33,,,Not found,Not found,ACTIVE,RAM As Is,,,7/28/2025 8:04
61,P2,Pod,POD_39,B,,a.acosta,MLASHP00356,4CE1290XTQ,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,Microsoft Windows 10 Enterprise,22H2,,HP,HP EliteDesk 800 G6 Small Form Factor PC,16.00 GB,1,16.00 GB,2667 MHz,DDR4,10.16.92.163,0068.EBCC.9A15,,,Not found,Not found,ACTIVE,RAM As Is,,,7/28/2025 8:12
62,P2,Pod,POD_39,F,,a.acosta,MLASHP00343,855JMJ3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3080,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.92.142,C025.A58A.6CBD,,,Not found,Not found,ACTIVE,RAM As Is,,,7/28/2025 8:20
63,P2,Pod,POD_40,D,,a.acosta,MLASHP00034,1CZ107037N,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,Microsoft Windows 10 Enterprise,22H2,,HP,HP ProDesk 400 G7 Small Form Factor PC,16.00 GB,2,8.00 GB > 8.00 GB,3200 MHz,DDR4,10.16.92.185,E8D8.D1D2.C7AA,,,Not found,Not found,ACTIVE,RAM As Is,,,7/28/2025 8:28
64,P2,Pod,POD_39,C,,a.acosta,MLASHP00097,4CE1290XQP,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,Microsoft Windows 10 Enterprise,22H2,,HP,HP EliteDesk 800 G6 Small Form Factor PC,16.00 GB,1,16.00 GB,2667 MHz,DDR4,10.16.93.75,0068.EBCC.ADDF,,,Not found,Not found,ACTIVE,RAM As Is,,,7/28/2025 8:33
65,P2,Pod,POD_40,F,,a.acosta,MLASHP00352,4CE1290Y10,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,Microsoft Windows 10 Enterprise,22H2,,HP,HP EliteDesk 800 G6 Small Form Factor PC,16.00 GB,1,16.00 GB,2667 MHz,DDR4,10.16.92.139,0068.EBCC.A9A8,,,Not found,Not found,ACTIVE,RAM As Is,,,7/29/2025 7:57
66,P2,Pod,POD_40,A,,a.acosta,MLASHP00126,4F4JMJ3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3080,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.92.101,C025.A591.43BD,,,Not found,Not found,ACTIVE,RAM As Is,,,7/29/2025 7:58
67,P2,Pod,POD_40,B,,a.acosta,MLASHP00345,HW3JMJ3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3080,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.94.111,C025.A591.4C5A,,,Not found,Not found,ACTIVE,RAM As Is,,,7/29/2025 8:03
68,P2,Pod,POD_02,G,,a.acosta,MLASHP00153,2UA5451NYW,Intel(R) Core(TM) i5-4590T CPU @ 2.00GHz,Microsoft Windows 10 Enterprise,22H2,,Hewlett-Packard,HP EliteDesk 800 G1 DM,16.00 GB,2,8.00 GB > 8.00 GB,1600 MHz,DDR3,10.16.94.70,5065.F32F.43B1,,,Not found,Not found,ACTIVE,RAM As Is,,,7/29/2025 13:27
69,P2,Pod,POD_11,E,,a.acosta,MLASHP00107,8CC9325F52,Intel(R) Core(TM) i5-8600 CPU @ 3.10GHz,Microsoft Windows 10 Enterprise,22H2,,HP,HP EliteDesk 800 G4 DM 65W,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.94.100,F8B4.6AAC.9103,,,Not found,Not found,ACTIVE,RAM As Is,,,7/29/2025 13:39
70,P2,Pod,POD_01,F,,m.hamto,MLASHP00286,6VS3LP3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,2,8.00 GB > 8.00 GB,3200 MHz,DDR4,10.16.92.119,C025.A5C8.69EE,,,Not found,Not found,ACTIVE,RAM Upgrade 2,,,7/30/2025 4:00
71,P2,Pod,POD_01,E,,M.HAMTO,MLASHP00278,C3N3LP3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,2,8.00 GB > 8.00 GB,3200 MHz,DDR4,10.16.94.190,C025.A5C7.9030,,,Not found,Not found,ACTIVE,RAM Upgrade 2,,,7/30/2025 4:03
72,P2,Pod,POD_01,A,,jp.ermita,MLASHP00519,74J14N3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,2,8.00 GB > 8.00 GB,3200 MHz,DDR4,10.16.93.4,A4BB.6D97.7E94,,,Not found,Not found,ACTIVE,RAM Upgrade 2,,,7/30/2025 4:03
73,P2,Pod,POD_01,B,,jp.ermita,MLASHP00160,3LTQXM3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,2,8.00 GB > 8.00 GB,3200 MHz,DDR4,10.16.92.245,A4BB.6D97.61FA,,,Not found,Not found,ACTIVE,RAM As Is,,,7/30/2025 4:04
74,P2,Pod,POD_01,G,,m.hamto,MLASHP00275,J2N3LP3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,2,8.00 GB > 8.00 GB,3200 MHz,DDR4,10.16.95.43,C025.A5C7.9087,,,Not found,Not found,ACTIVE,RAM Upgrade 2,,,7/30/2025 4:11
75,P2,Pod,POD_02,D,,m.hamto,MLASHP00304,7KTQXM3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,2,8.00 GB > 8.00 GB,3200 MHz,DDR4,10.16.92.201,A4BB.6D97.4152,,,Not found,Not found,ACTIVE,RAM Upgrade 2,,,7/30/2025 4:17
76,P2,Pod,POD_02,E,,m.hamto,MLASHP00335,F9TQXM3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,2,8.00 GB > 8.00 GB,3200 MHz,DDR4,10.16.94.63,A4BB.6D97.4616,,,Not found,Not found,ACTIVE,RAM Upgrade 2,,,7/30/2025 4:21
77,P2,Pod,POD_02,F,,jp.ermita,MLASHP00306,7NR91N3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,2,8.00 GB > 8.00 GB,2666 MHz,DDR4,10.16.93.91,A4BB.6D97.3A0E,,,Not found,Not found,ACTIVE,RAM Upgrade 2,,,7/30/2025 4:26
78,P2,Pod,POD_02,A,,m.hamto,MLASHP00336,67TQXM3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,2,8.00 GB > 8.00 GB,3200 MHz,DDR4,10.16.94.235,A4BB.6D97.4463,,,Not found,Not found,ACTIVE,RAM Upgrade 2,,,7/30/2025 4:29
79,P2,Pod,POD_11,A,,jp.ermita,MLASHP00083,46N3LP3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,2,8.00 GB > 8.00 GB,3200 MHz,DDR4,10.16.94.86,C025.A5C7.9075,,,Not found,Not found,ACTIVE,RAM Upgrade 2,,,7/30/2025 4:44
80,P2,Pod,POD_11,D,,m.hamto,MLASHP00081,13N3LP3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,2,8.00 GB > 8.00 GB,3200 MHz,DDR4,10.16.93.89,C025.A5C7.9022,,,Not found,Not found,ACTIVE,RAM Upgrade 2,,,7/30/2025 4:46
81,P2,Pod,POD_11,G,,jp.ermita,MLASHP00085,H9TQXM3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,2,8.00 GB > 8.00 GB,3200 MHz,DDR4,10.16.93.12,A4BB.6D97.481F,,,Not found,Not found,ACTIVE,RAM Upgrade 2,,,7/30/2025 4:46
82,P2,Pod,POD_11,C,,m.hamto,MLASHP00082,93N3LP3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,2,8.00 GB > 8.00 GB,3200 MHz,DDR4,10.16.94.130,C025.A5C7.907B,,,Not found,Not found,ACTIVE,RAM Upgrade 2,,,7/30/2025 4:47
83,P2,Pod,POD_11,F,,jp.ermita,MLASHP00129,CXSQXM3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,2,8.00 GB > 8.00 GB,3200 MHz,DDR4,10.16.93.104,A4BB.6D97.343A,,,Not found,Not found,ACTIVE,RAM Upgrade 2,,,7/30/2025 4:49
84,P2,Pod,POD_11,B,,m.hamto,MLASHP00127,80N3LP3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,24.00 GB,2,8.00 GB > 16.00 GB,3200 MHz,DDR4,10.16.92.169,C025.A5C9.A373,,,Not found,Not found,ACTIVE,RAM As Is,,,7/30/2025 4:49
85,P2,Pod,POD_11,B,,a.acosta,MLASHP00127,80N3LP3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.92.169,C025.A5C9.A373,,,Not found,Not found,ACTIVE,RAM As Is,,,7/30/2025 8:57
86,P2,Pod,POD_30,C,,a.acosta,MLASHP00530,G5J14N3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,8.00 GB,1,8.00 GB,3200 MHz,DDR4,10.16.92.233,A4BB.6D97.7E8C,,,Not found,Not found,ACTIVE,RAM As Is,,,7/30/2025 9:07
87,P2,Pod,POD_30,C,,a.acosta,MLASHP00530,G5J14N3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,2,8.00 GB > 8.00 GB,3200 MHz,DDR4,10.16.92.233,A4BB.6D97.7E8C,,,Not found,Not found,ACTIVE,RAM Upgrade 2,,,7/30/2025 9:12
92,P2,Pod,POD_03,A,,jp.ermita,MLASHP00323,49TQXM3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.93.99,A4BB.6D96.EB21,,,Not found,Not found,ACTIVE,RAM Upgrade 1,,,7/31/2025 5:16
93,P2,Pod,POD_03,F,,jp.ermita,MLASHP00522,77MY3N3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,2,8.00 GB > 8.00 GB,3200 MHz,DDR4,10.16.94.216,A4BB.6D97.8D06,,,Not found,Not found,ACTIVE,RAM Upgrade 2,,,7/31/2025 5:16
94,P2,Pod,POD_03,C,,m.hamto,MLASHP00307,82N3LP3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.94.115,C025.A5C7.90BB,,,Not found,Not found,ACTIVE,RAM Upgrade 1,,,7/31/2025 5:17
95,P2,Pod,POD_03,D,,m.hamto,MLASHP00325,2WSQXM3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,2,8.00 GB > 8.00 GB,3200 MHz,DDR4,10.16.95.52,A4BB.6D97.059C,,,Not found,Not found,ACTIVE,RAM Upgrade 2,,,7/31/2025 5:17
96,P2,Pod,POD_03,B,,m.hamto,MLASHP00314,6CN3LP3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.93.117,C025.A5C9.3172,,,Not found,Not found,ACTIVE,RAM Upgrade 1,,,7/31/2025 5:18
97,P2,Pod,POD_03,E,,jp.ermita,MLASHP00315,1WSQXM3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,2,8.00 GB > 8.00 GB,3200 MHz,DDR4,10.16.94.251,A4BB.6D96.F07D,,,Not found,Not found,ACTIVE,RAM Upgrade 2,,,7/31/2025 5:18
98,P2,Pod,POD_03,G,,a.acosta,MLASHP00266,3VSQXM3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,8.00 GB,1,8.00 GB,3200 MHz,DDR4,10.16.94.85,A4BB.6D97.2E3F,,,Not found,Not found,ACTIVE,RAM As Is,,,7/31/2025 7:34
104,6F,Desk-Area,DA_NOC,30,,a.acosta,MLASHP00093,H4N3LP3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.94.237,C025.A5C7.906E,,,Not found,Not found,ACTIVE,RAM As Is,,,8/18/2025 20:34
106,P2,Pod,POD_21,A,,a.acosta,MLASHP00122,9JGTVM3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3090,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.94.173,A4BB.6D97.53B9,,,Not found,Not found,ACTIVE,RAM As Is,,,8/21/2025 20:46
109,P2,Pod,POD_04,E,,m.bautista,MLASHP00171,BR4JMJ3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3080,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.93.186,C025.A591.46AB,,,Not found,Not found,ACTIVE,RAM As Is,,,8/23/2025 2:23
110,P2,Pod,POD_04,E,,m.bautista,MLASHP00171,BR4JMJ3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3080,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.93.186,C025.A591.46AB,,,Not found,Not found,ACTIVE,RAM As Is,,,8/23/2025 2:29
111,P2,Pod,POD_05,D,,epmax_admin,MLASHP00362,F55JMJ3,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Microsoft Windows 10 Enterprise,22H2,,Dell Inc.,OptiPlex 3080,16.00 GB,1,16.00 GB,3200 MHz,DDR4,10.16.92.198,C025.A58A.63C5,,,Not found,Not found,ACTIVE,RAM As Is,,,8/23/2025 2:33
